contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,New horizons towards thermalization,,[],True,[],"New horizons towards thermalization. Nature Phys14, 969 (2018).",4696,6,0,aplusplus,10.1038/s41567-018-0326-2,https://doi.org/10.1038/s41567-018-0326-2,Quantum thermalization,10,nphys,nature physics,1538524800,2018-10-03,condensed-matter-physics;quantum-physics;statistical-physics-thermodynamics-and-nonlinear-dynamics,https://www.nature.com/articles/s41567-018-0326-2,14
thesis,Defining black holes,,[],True,"[""Mark Buchanan""]","Buchanan, M. Defining black holes. Nature Phys14, 970 (2018).",987,2,0,aplusplus,10.1038/s41567-018-0299-1,https://doi.org/10.1038/s41567-018-0299-1,Nobel Prize in Physics 2020,10,nphys,nature physics,1538524800,2018-10-03,general-relativity-and-gravity;physics,https://www.nature.com/articles/s41567-018-0299-1,14
books & arts,Fighting quackery,,[],True,"[""Leonie Mueck""]","Mueck, L. Fighting quackery. Nature Phys14, 971 (2018).",527,2,0,aplusplus,10.1038/s41567-018-0303-9,https://doi.org/10.1038/s41567-018-0303-9,,10,nphys,nature physics,1538524800,2018-10-03,media;science-in-culture,https://www.nature.com/articles/s41567-018-0303-9,14
research highlight,Live transmission,,[],True,"[""Abigail Klopper""]","Klopper, A. Live transmission. Nature Phys14, 972 (2018).",355,10,0,aplusplus,10.1038/s41567-018-0321-7,https://doi.org/10.1038/s41567-018-0321-7,,10,nphys,nature physics,1538524800,2018-10-03,bacterial-systems-biology;biological-physics;criticality;statistical-physics,https://www.nature.com/articles/s41567-018-0321-7,14
research highlight,Light on skyrmions,,[],True,"[""Andrea Taroni""]","Taroni, A. Light on skyrmions. Nature Phys14, 972 (2018).",1441,1,0,aplusplus,10.1038/s41567-018-0322-6,https://doi.org/10.1038/s41567-018-0322-6,,10,nphys,nature physics,1538524800,2018-10-03,optical-physics;topological-matter,https://www.nature.com/articles/s41567-018-0322-6,14
research highlight,Mapping the moiré,,[],True,"[""David Abergel""]","Abergel, D. Mapping the moiré. Nature Phys14, 972 (2018).",1044,3,0,aplusplus,10.1038/s41567-018-0323-5,https://doi.org/10.1038/s41567-018-0323-5,,10,nphys,nature physics,1538524800,2018-10-03,scanning-electron-microscopy;structure-of-solids-and-liquids;two-dimensional-materials,https://www.nature.com/articles/s41567-018-0323-5,14
research highlight,Let's get practical,,[],True,"[""Federico Levi""]","Levi, F. Let’s get practical. Nature Phys14, 972 (2018).",422,7,0,aplusplus,10.1038/s41567-018-0324-4,https://doi.org/10.1038/s41567-018-0324-4,,10,nphys,nature physics,1538524800,2018-10-03,quantum-simulation;qubits,https://www.nature.com/articles/s41567-018-0324-4,14
research highlight,Charmed life,,[],True,"[""Stefanie Reichert""]","Reichert, S. Charmed life. Nature Phys14, 972 (2018).",191,0,0,aplusplus,10.1038/s41567-018-0325-3,https://doi.org/10.1038/s41567-018-0325-3,,10,nphys,nature physics,1538524800,2018-10-03,experimental-particle-physics;theoretical-particle-physics,https://www.nature.com/articles/s41567-018-0325-3,14
news & views,The dark side of neutrons,,[],True,"[""W. Michael Snow""]","Snow, W.M. The dark side of neutrons. Nature Phys14, 973 (2018).",666,5,3,aplusplus,10.1038/s41567-018-0261-2,https://doi.org/10.1038/s41567-018-0261-2,,10,nphys,nature physics,1532390400,2018-07-24,characterization-and-analytical-techniques;dark-energy-and-dark-matter;particle-physics,https://www.nature.com/articles/s41567-018-0261-2,14
news & views,Building the building blocks,,[],True,"[""Isaac Chuang""]","Chuang, I. Building the building blocks. Nature Phys14, 974–975 (2018).",2092,21,0,aplusplus,10.1038/s41567-018-0296-4,https://doi.org/10.1038/s41567-018-0296-4,,10,nphys,nature physics,1536883200,2018-09-14,quantum-information;qubits,https://www.nature.com/articles/s41567-018-0296-4,14
news & views,Connected development,,[],True,"[""Ben D. MacArthur""]","MacArthur, B.D. Connected development. Nature Phys14, 975–976 (2018).",413,6,0,aplusplus,10.1038/s41567-018-0236-3,https://doi.org/10.1038/s41567-018-0236-3,,10,nphys,nature physics,1531699200,2018-07-16,biological-physics;biophysics;cell-lineage;statistical-physics-thermodynamics-and-nonlinear-dynamics,https://www.nature.com/articles/s41567-018-0236-3,14
