contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Big Bang theory,,[],True,[],"Big Bang theory. Nat. Phys. 15, 1103 (2019).",4826,12,0,aplusplus,10.1038/s41567-019-0720-4,https://doi.org/10.1038/s41567-019-0720-4,,11,nphys,nature physics,1572825600,2019-11-04,cosmology;exoplanets,https://www.nature.com/articles/s41567-019-0720-4,15
editorial,A supreme achievement,,[],True,[],"A supreme achievement. Nat. Phys. 15, 1103 (2019).",1973,10,0,aplusplus,10.1038/s41567-019-0721-3,https://doi.org/10.1038/s41567-019-0721-3,,11,nphys,nature physics,1572825600,2019-11-04,quantum-information;quantum-mechanics;qubits;superconducting-devices,https://www.nature.com/articles/s41567-019-0721-3,15
thesis,Leibniz's principle of indistinguishability,,[],True,"[""Mark Buchanan""]","Buchanan, M. Leibniz’s principle of indistinguishability. Nat. Phys. 15, 1104 (2019).",1334,9,0,aplusplus,10.1038/s41567-019-0711-5,https://doi.org/10.1038/s41567-019-0711-5,,11,nphys,nature physics,1572825600,2019-11-04,,https://www.nature.com/articles/s41567-019-0711-5,15
research highlight,Triplet no more,,[],True,"[""David Abergel""]","Abergel, D. Triplet no more. Nat. Phys. 15, 1105 (2019).",1217,2,0,aplusplus,10.1038/s41567-019-0715-1,https://doi.org/10.1038/s41567-019-0715-1,,11,nphys,nature physics,1572825600,2019-11-04,superconducting-properties-and-materials,https://www.nature.com/articles/s41567-019-0715-1,15
research highlight,Skyrmion school,,[],True,"[""Elizaveta Dubrovina""]","Dubrovina, E. Skyrmion school. Nat. Phys. 15, 1105 (2019).",825,1,0,aplusplus,10.1038/s41567-019-0716-0,https://doi.org/10.1038/s41567-019-0716-0,,11,nphys,nature physics,1572825600,2019-11-04,fluid-dynamics;liquid-crystals,https://www.nature.com/articles/s41567-019-0716-0,15
research highlight,Fall forward,,[],True,"[""Federico Levi""]","Levi, F. Fall forward. Nat. Phys. 15, 1105 (2019).",339,1,0,aplusplus,10.1038/s41567-019-0717-z,https://doi.org/10.1038/s41567-019-0717-z,,11,nphys,nature physics,1572825600,2019-11-04,biological-physics;ligaments;skeletal-muscle,https://www.nature.com/articles/s41567-019-0717-z,15
research highlight,Reconfigurable routing,,[],True,"[""Nina Meinzer""]","Meinzer, N. Reconfigurable routing. Nat. Phys. 15, 1105 (2019).",283,0,0,aplusplus,10.1038/s41567-019-0718-y,https://doi.org/10.1038/s41567-019-0718-y,,11,nphys,nature physics,1572825600,2019-11-04,nanophotonics-and-plasmonics;photonic-devices;topological-matter,https://www.nature.com/articles/s41567-019-0718-y,15
research highlight,Of all shapes,,[],True,"[""Stefanie Reichert""]","Reichert, S. Of all shapes. Nat. Phys. 15, 1105 (2019).",510,3,0,aplusplus,10.1038/s41567-019-0719-x,https://doi.org/10.1038/s41567-019-0719-x,,11,nphys,nature physics,1572825600,2019-11-04,experimental-nuclear-physics;theoretical-nuclear-physics,https://www.nature.com/articles/s41567-019-0719-x,15
news & views,Engaged in gauge theory,,[],True,"[""Cheng Chin""]","Chin, C. Engaged in gauge theory. Nat. Phys. 15, 1106–1107 (2019).",1884,36,1,aplusplus,10.1038/s41567-019-0664-8,https://doi.org/10.1038/s41567-019-0664-8,,11,nphys,nature physics,1568592000,2019-09-16,quantum-simulation;ultracold-gases,https://www.nature.com/articles/s41567-019-0664-8,15
news & views,A needle in a moiré stack,,[],True,"[""Adina Luican-Mayer""]","Luican-Mayer, A. A needle in a moiré stack. Nat. Phys. 15, 1107–1108 (2019).",1568,3,0,aplusplus,10.1038/s41567-019-0645-y,https://doi.org/10.1038/s41567-019-0645-y,,11,nphys,nature physics,1564963200,2019-08-05,electronic-properties-and-devices;electronic-properties-and-materials;two-dimensional-materials,https://www.nature.com/articles/s41567-019-0645-y,15
news & views,The magic in molecules,,[],True,"[""Nicola Poli""]","Poli, N. The magic in molecules. Nat. Phys. 15, 1108–1109 (2019).",852,6,0,aplusplus,10.1038/s41567-019-0647-9,https://doi.org/10.1038/s41567-019-0647-9,,11,nphys,nature physics,1566172800,2019-08-19,quantum-metrology;ultracold-gases,https://www.nature.com/articles/s41567-019-0647-9,15
