contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,A question of upbringing,,[],True,[],"A question of upbringing. Nature Phys2, 789 (2006).",53,0,0,aplusplus,10.1038/nphys481,https://doi.org/10.1038/nphys481,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys481,2
correspondence,Foundations of the composite diffracted evanescent wave model,,[],True,"[""F. J. Garc\u00eda-Vidal"", ""Sergio G. Rodrigo"", ""L. Mart\u00edn-Moreno""]","García-Vidal, F., Rodrigo, S. & Martín-Moreno, L. Foundations of the composite diffracted evanescent wave model. Nature Phys2, 790 (2006).",75,0,19,aplusplus,10.1038/nphys468a,https://doi.org/10.1038/nphys468a,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys468a,2
correspondence,Reply: Foundations of the composite diffracted evanescent wave model,,[],True,"[""J. Weiner"", ""H. J. Lezec""]","Weiner, J., Lezec, H. Reply: Foundations of the composite diffracted evanescent wave model. Nature Phys2, 791 (2006).",37,0,9,aplusplus,10.1038/nphys468b,https://doi.org/10.1038/nphys468b,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys468b,2
correspondence,The response of nanostructured surfaces in the near field,,[],True,"[""G. Gay"", ""O. Alloschery"", ""J. Weiner"", ""H. J. Lezec"", ""C. O'Dwyer"", ""M. Sukharev"", ""T. Seideman""]","Gay, G., Alloschery, O., Weiner, J. et al. The response of nanostructured surfaces in the near field. Nature Phys2, 792 (2006).",106,0,21,aplusplus,10.1038/nphys473a,https://doi.org/10.1038/nphys473a,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys473a,2
correspondence,Reply: The response of nanostructured surfaces in the near field,,[],True,"[""P. Lalanne"", ""J.P. Hugonin"", ""M. Besbes"", ""P. Bienstman""]","Lalanne, P., Hugonin, J., Besbes, M. et al. Reply: The response of nanostructured surfaces in the near field. Nature Phys2, 792–793 (2006).",29,0,9,aplusplus,10.1038/nphys473b,https://doi.org/10.1038/nphys473b,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys473b,2
commentary,Wired for the future,,[],False,"[""John Clarke"", ""David C. Larbalestier""]","Clarke, J., Larbalestier, D. Wired for the future. Nature Phys2, 794–796 (2006).",32,0,6,aplusplus,10.1038/nphys472,https://doi.org/10.1038/nphys472,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys472,2
thesis,Atomic approach to general relativity,,[],True,"[""Mark Buchanan""]","Buchanan, M. Atomic approach to general relativity. Nature Phys2, 797 (2006).",116,0,0,aplusplus,10.1038/nphys470,https://doi.org/10.1038/nphys470,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys470,2
thesis,Another year over...,,[],True,"[""Lawrence M. Krauss""]","Krauss, L. Another year over.... Nature Phys2, 797 (2006).",5,0,0,aplusplus,10.1038/nphys471,https://doi.org/10.1038/nphys471,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys471,2
research highlights,c the light,,[],True,[],"cthe light. Nature Phys2, 798 (2006).",24,0,0,aplusplus,10.1038/nphys483,https://doi.org/10.1038/nphys483,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys483,2
news & views,FLASH microscopy,,[],True,"[""Janos Kirz""]","Kirz, J. FLASH microscopy. Nature Phys2, 799–800 (2006).",32,0,16,aplusplus,10.1038/nphys474,https://doi.org/10.1038/nphys474,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys474,2
news & views,When superatoms talk photons,,[],True,"[""Vladan Vuletic""]","Vuletic, V. When superatoms talk photons. Nature Phys2, 801–802 (2006).",84,0,28,aplusplus,10.1038/nphys469,https://doi.org/10.1038/nphys469,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys469,2
news & views,Light does matter,,[],True,"[""Fabrizio Illuminati""]","Illuminati, F. Light does matter. Nature Phys2, 803–804 (2006).",70,0,23,aplusplus,10.1038/nphys479,https://doi.org/10.1038/nphys479,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys479,2
news & views,Down the information back-alley,,[],True,"[""Andrew Steane""]","Steane, A. Down the information back-alley. Nature Phys2, 805–806 (2006).",9,0,2,aplusplus,10.1038/nphys480,https://doi.org/10.1038/nphys480,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys480,2
news & views,Connect the dots,,[],True,"[""Guido Burkard""]","Burkard, G. Connect the dots. Nature Phys2, 807–808 (2006).",22,0,3,aplusplus,10.1038/nphys467,https://doi.org/10.1038/nphys467,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys467,2
news & views,Electrons scatter as they pair,,[],True,"[""Louis Taillefer""]","Taillefer, L. Electrons scatter as they pair. Nature Phys2, 809–810 (2006).",31,0,3,aplusplus,10.1038/nphys478a,https://doi.org/10.1038/nphys478a,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys478a,2
erratum,Erratum: Coherence in molecular nitrogen,,[],True,"[""Markus Arndt""]","Arndt, M. Erratum: Coherence in molecular nitrogen. Nature Phys2, 810 (2006).",71,0,0,aplusplus,10.1038/nphys478b,https://doi.org/10.1038/nphys478b,,12,nphys,nature physics,1164931200,2006-12-01,,https://www.nature.com/articles/nphys478b,2
