contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,New faces,,[],True,[],"New faces. Nature Phys6, 475 (2010).",48,0,0,aplusplus,10.1038/nphys1732,https://doi.org/10.1038/nphys1732,,7,nphys,nature physics,1277942400,2010-07-01,,https://www.nature.com/articles/nphys1732,6
thesis,All in the mind,,[],True,"[""Mark Buchanan""]","Buchanan, M. All in the mind. Nature Phys6, 477 (2010).",21,0,0,aplusplus,10.1038/nphys1720,https://doi.org/10.1038/nphys1720,,7,nphys,nature physics,1277942400,2010-07-01,,https://www.nature.com/articles/nphys1720,6
research highlights,Research highlights,,[],True,[],"Research highlights. Nature Phys6, 478 (2010).",19,0,0,aplusplus,10.1038/nphys1729,https://doi.org/10.1038/nphys1729,,7,nphys,nature physics,1277942400,2010-07-01,,https://www.nature.com/articles/nphys1729,6
news & views,Going supercritical,,[],True,"[""Paul F. McMillan"", ""H. Eugene Stanley""]","McMillan, P., Stanley, H. Going supercritical. Nature Phys6, 479–480 (2010).",340,8,84,aplusplus,10.1038/nphys1711,https://doi.org/10.1038/nphys1711,,7,nphys,nature physics,1277942400,2010-07-01,,https://www.nature.com/articles/nphys1711,6
news & views,Patterns of complexity,,[],True,"[""Romualdo Pastor-Satorras"", ""Alessandro Vespignani""]","Pastor-Satorras, R., Vespignani, A. Patterns of complexity. Nature Phys6, 480–481 (2010).",145,0,13,aplusplus,10.1038/nphys1722,https://doi.org/10.1038/nphys1722,,7,nphys,nature physics,1277942400,2010-07-01,,https://www.nature.com/articles/nphys1722,6
news & views,Magnetic bubble wrap,,[],True,"[""Ian Parrish""]","Parrish, I. Magnetic bubble wrap. Nature Phys6, 481–482 (2010).",7,6,0,aplusplus,10.1038/nphys1681,https://doi.org/10.1038/nphys1681,,7,nphys,nature physics,1273968000,2010-05-16,,https://www.nature.com/articles/nphys1681,6
news & views,More stations tune in,,[],True,"[""May Chiao""]","Chiao, M. More stations tune in. Nature Phys6, 482 (2010).",9,0,0,aplusplus,10.1038/nphys1727,https://doi.org/10.1038/nphys1727,,7,nphys,nature physics,1277942400,2010-07-01,,https://www.nature.com/articles/nphys1727,6
news & views,Proximity eases confinement,,[],True,"[""Michael E. Fisher""]","Fisher, M. Proximity eases confinement. Nature Phys6, 483–484 (2010).",17,0,7,aplusplus,10.1038/nphys1724,https://doi.org/10.1038/nphys1724,,7,nphys,nature physics,1277942400,2010-07-01,,https://www.nature.com/articles/nphys1724,6
news & views,Trying to catch the wave,,[],True,"[""Nils Andersson""]","Andersson, N. Trying to catch the wave. Nature Phys6, 484–485 (2010).",12,6,0,aplusplus,10.1038/nphys1723,https://doi.org/10.1038/nphys1723,Waves from the Big Bang,7,nphys,nature physics,1277942400,2010-07-01,,https://www.nature.com/articles/nphys1723,6
news & views,A quantum dot in a Fermi sea,,[],True,"[""Alex Greilich"", ""Daniel Gammon""]","Greilich, A., Gammon, D. A quantum dot in a Fermi sea. Nature Phys6, 485–486 (2010).",29,0,0,aplusplus,10.1038/nphys1719,https://doi.org/10.1038/nphys1719,,7,nphys,nature physics,1277942400,2010-07-01,,https://www.nature.com/articles/nphys1719,6
news & views,Propelled by diffusion,,[],True,"[""Michael A. Page""]","Page, M. Propelled by diffusion. Nature Phys6, 486–487 (2010).",25,0,11,aplusplus,10.1038/nphys1718,https://doi.org/10.1038/nphys1718,,7,nphys,nature physics,1276992000,2010-06-20,,https://www.nature.com/articles/nphys1718,6
correction,Correction: Editorial: Where credit is due,,[],True,[],"Correction: Editorial: Where credit is due. Nature Phys6, 487 (2010).",50,0,0,aplusplus,10.1038/nphys1712,https://doi.org/10.1038/nphys1712,,7,nphys,nature physics,1277942400,2010-07-01,,https://www.nature.com/articles/nphys1712,6
letter,Interacting electrons in one dimension beyond the Luttinger-liquid limit,,[],True,"[""Gilad Barak"", ""Hadar Steinberg"", ""Loren N. Pfeiffer"", ""Ken W. West"", ""Leonid Glazman"", ""Felix von Oppen"", ""Amir Yacoby""]","Barak, G., Steinberg, H., Pfeiffer, L. et al. Interacting electrons in one dimension beyond the Luttinger-liquid limit. Nature Phys6, 489–493 (2010).",466,0,67,aplusplus,10.1038/nphys1678,https://doi.org/10.1038/nphys1678,,7,nphys,nature physics,1275177600,2010-05-30,,https://www.nature.com/articles/nphys1678,6
