contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,More space,,[],True,[],"More space. Nature Phys11, 605 (2015).",66,7,0,aplusplus,10.1038/nphys3443,https://doi.org/10.1038/nphys3443,,8,nphys,nature physics,1438300800,2015-07-31,astronomy-and-astrophysics;planetary-science;quantum-physics;space-physics,https://www.nature.com/articles/nphys3443,11
commentary,Hubble's biggest fan,,[],False,"[""Luis C. Ho""]","Ho, L. Hubble's biggest fan. Nature Phys11, 607–608 (2015).",29,1,0,aplusplus,10.1038/nphys3409,https://doi.org/10.1038/nphys3409,,8,nphys,nature physics,1438300800,2015-07-31,astronomical-instrumentation;astronomy-and-planetary-science,https://www.nature.com/articles/nphys3409,11
commentary,Exploring the dwarf planets,,[],False,"[""William B. McKinnon""]","McKinnon, W. Exploring the dwarf planets. Nature Phys11, 608–611 (2015).",76,1,0,aplusplus,10.1038/nphys3394,https://doi.org/10.1038/nphys3394,Advances in Planetary Science,8,nphys,nature physics,1438300800,2015-07-31,asteroids-comets-and-kuiper-belt;astronomy-and-planetary-science,https://www.nature.com/articles/nphys3394,11
commentary,Magnetic reconnection,,[],False,"[""Thomas Earle Moore"", ""James L. Burch"", ""Roy B. Torbert""]","Moore, T., Burch, J. & Torbert, R. Magnetic reconnection. Nature Phys11, 611–613 (2015).",128,9,2,aplusplus,10.1038/nphys3393,https://doi.org/10.1038/nphys3393,,8,nphys,nature physics,1438300800,2015-07-31,solar-physics,https://www.nature.com/articles/nphys3393,11
commentary,LISA and its pathfinder,,[],False,"[""Karsten Danzmann""]","the LISA Pathfinder Team., Danzmann, K. & the eLISA Consortium. LISA and its pathfinder. Nature Phys11, 613–615 (2015).",148,11,11,aplusplus,10.1038/nphys3420,https://doi.org/10.1038/nphys3420,2017 Nobel Prize in Physics,8,nphys,nature physics,1438300800,2015-07-31,astronomical-instrumentation;astronomy-and-planetary-science,https://www.nature.com/articles/nphys3420,11
commentary,Ψ in the sky,,[],False,"[""Kai Bongs"", ""Michael Holynski"", ""Yeshpal Singh""]","Bongs, K., Holynski, M. & Singh, Y. Ψ in the sky. Nature Phys11, 615–617 (2015).",164,15,5,aplusplus,10.1038/nphys3427,https://doi.org/10.1038/nphys3427,,8,nphys,nature physics,1438300800,2015-07-31,astronomy-and-planetary-science;quantum-metrology,https://www.nature.com/articles/nphys3427,11
thesis,Almost action at a distance,,[],True,"[""Mark Buchanan""]","Buchanan, M. Almost action at a distance. Nature Phys11, 619 (2015).",43,2,0,aplusplus,10.1038/nphys3429,https://doi.org/10.1038/nphys3429,,8,nphys,nature physics,1438300800,2015-07-31,fluid-dynamics;microfluidics,https://www.nature.com/articles/nphys3429,11
research highlights,Bring the noise,,[],True,"[""Abigail Klopper""]","Klopper, A. Bring the noise. Nature Phys11, 620 (2015).",31,1,0,aplusplus,10.1038/nphys3438,https://doi.org/10.1038/nphys3438,,8,nphys,nature physics,1438300800,2015-07-31,complex-networks,https://www.nature.com/articles/nphys3438,11
research highlights,Plane speaking,,[],True,"[""May Chiao""]","Chiao, M. Plane speaking. Nature Phys11, 620 (2015).",15,0,0,aplusplus,10.1038/nphys3439,https://doi.org/10.1038/nphys3439,,8,nphys,nature physics,1438300800,2015-07-31,galaxies-and-clusters,https://www.nature.com/articles/nphys3439,11
research highlights,Connect the dots,,[],True,"[""Iulia Georgescu""]","Georgescu, I. Connect the dots. Nature Phys11, 620 (2015).",50,1,0,aplusplus,10.1038/nphys3440,https://doi.org/10.1038/nphys3440,,8,nphys,nature physics,1438300800,2015-07-31,quantum-dots;spectroscopy,https://www.nature.com/articles/nphys3440,11
