contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Biden time,,[],True,[],"Biden time. Nat. Phys. 17, 147 (2021).",147,3,0,aplusplus,10.1038/s41567-021-01183-6,https://doi.org/10.1038/s41567-021-01183-6,,2,nphys,nature physics,1612742400,2021-02-08,physics;scientific-community-and-society,https://www.nature.com/articles/s41567-021-01183-6,17
thesis,"Hello, school!",,[],False,"[""Mark Buchanan""]","Buchanan, M. Hello, school!. Nat. Phys. 17, 148 (2021).",57,1,0,aplusplus,10.1038/s41567-021-01173-8,https://doi.org/10.1038/s41567-021-01173-8,,2,nphys,nature physics,1612742400,2021-02-08,computer-science;protein-folding,https://www.nature.com/articles/s41567-021-01173-8,17
comment,Truth and beauty in physics and biology,,[],False,"[""Ben D. MacArthur""]","MacArthur, B.D. Truth and beauty in physics and biology. Nat. Phys. 17, 149–151 (2021).",1792,98,0,aplusplus,10.1038/s41567-020-01132-9,https://doi.org/10.1038/s41567-020-01132-9,,2,nphys,nature physics,1610323200,2021-01-11,biophysics;physics,https://www.nature.com/articles/s41567-020-01132-9,17
comment,Shifting computational boundaries for complex organic materials,,[],False,"[""R. Matthias Geilhufe"", ""Bart Olsthoorn"", ""Alexander V. Balatsky""]","Geilhufe, R.M., Olsthoorn, B. & Balatsky, A.V. Shifting computational boundaries for complex organic materials. Nat. Phys. 17, 152–154 (2021).",402,5,0,aplusplus,10.1038/s41567-020-01135-6,https://doi.org/10.1038/s41567-020-01135-6,,2,nphys,nature physics,1610409600,2021-01-12,computational-methods;electronic-properties-and-materials,https://www.nature.com/articles/s41567-020-01135-6,17
review article,Moiré heterostructures as a condensed-matter quantum simulator,"<p>Twisted van der Waals heterostructures have latterly received prominent attention for their many remarkable experimental properties and the promise that they hold for realizing elusive states of matter in the laboratory. We propose that these systems can, in fact, be used as a robust quantum simulation platform that enables the study of strongly correlated physics and topology in quantum materials. Among the features that make these materials a versatile toolbox are the tunability of their properties through readily accessible external parameters such as gating, straining, packing and twist angle; the feasibility to realize and control a large number of fundamental many-body quantum models relevant in the field of condensed-matter physics; and finally, the availability of experimental readout protocols that directly map their rich phase diagrams in and out of equilibrium. This general framework makes it possible to robustly realize and functionalize new phases of matter in a modular fashion, thus broadening the landscape of accessible physics and holding promise for future technological applications.</p>",[],False,"[""Dante M. Kennes"", ""Martin Claassen"", ""Lede Xian"", ""Antoine Georges"", ""Andrew J. Millis"", ""James Hone"", ""Cory R. Dean"", ""D. N. Basov"", ""Abhay N. Pasupathy"", ""Angel Rubio""]","Kennes, D.M., Claassen, M., Xian, L. et al. Moiré heterostructures as a condensed-matter quantum simulator. Nat. Phys. 17, 155–163 (2021).",2252,45,0,aplusplus,10.1038/s41567-020-01154-3,https://doi.org/10.1038/s41567-020-01154-3,,2,nphys,nature physics,1612137600,2021-02-01,electronic-properties-and-materials;theory-and-computation;topological-matter;two-dimensional-materials,https://www.nature.com/articles/s41567-020-01154-3,17
news & views,Clock comparison using black holes,,[],True,"[""R\u00fcdiger Haas""]","Haas, R. Clock comparison using black holes. Nat. Phys. 17, 164–165 (2021).",391,1,0,aplusplus,10.1038/s41567-020-01071-5,https://doi.org/10.1038/s41567-020-01071-5,,2,nphys,nature physics,1603929600,2020-10-29,astronomy-and-astrophysics;atomic-and-molecular-physics;fibre-optics-and-optical-communications;optical-metrology,https://www.nature.com/articles/s41567-020-01071-5,17
news & views,Gently stirred not shaken,,[],True,"[""Daniel Rolles""]","Rolles, D. Gently stirred not shaken. Nat. Phys. 17, 165–166 (2021).",725,3,0,aplusplus,10.1038/s41567-020-01119-6,https://doi.org/10.1038/s41567-020-01119-6,,2,nphys,nature physics,1608508800,2020-12-21,atomic-and-molecular-interactions-with-photons;atomic-and-molecular-physics;quantum-physics,https://www.nature.com/articles/s41567-020-01119-6,17
news & views,An odd couple,,[],True,"[""Brian D\u2019Urso"", ""James Millen""]","D’Urso, B., Millen, J. An odd couple. Nat. Phys. 17, 167–168 (2021).",839,11,0,aplusplus,10.1038/s41567-020-1020-8,https://doi.org/10.1038/s41567-020-1020-8,,2,nphys,nature physics,1600646400,2020-09-21,quantum-mechanics;quantum-optics,https://www.nature.com/articles/s41567-020-1020-8,17
news & views,Light captured in flight,,[],True,"[""Nina Meinzer""]","Meinzer, N. Light captured in flight. Nat. Phys. 17, 168 (2021).",202,1,0,aplusplus,10.1038/s41567-021-01179-2,https://doi.org/10.1038/s41567-021-01179-2,,2,nphys,nature physics,1612742400,2021-02-08,imaging-and-sensing;imaging-techniques,https://www.nature.com/articles/s41567-021-01179-2,17
news & views,The symmetry of superconducting Sr2RuO4,,[],True,"[""Daniel F. Agterberg""]","Agterberg, D.F. The symmetry of superconducting Sr2RuO4. Nat. Phys. 17, 169–170 (2021).",1555,10,0,aplusplus,10.1038/s41567-020-1034-2,https://doi.org/10.1038/s41567-020-1034-2,,2,nphys,nature physics,1600646400,2020-09-21,superconducting-properties-and-materials,https://www.nature.com/articles/s41567-020-1034-2,17
news & views,Chaotic worms,,[],True,"[""Jane Loveless"", ""Barbara Webb""]","Loveless, J., Webb, B. Chaotic worms. Nat. Phys.(2020).",647,8,0,aplusplus,10.1038/s41567-020-01058-2,https://doi.org/10.1038/s41567-020-01058-2,,2,nphys,nature physics,1601856000,2020-10-05,biological-physics;biophysics;nonlinear-phenomena,https://www.nature.com/articles/s41567-020-01058-2,17
news & views,Living proof of effective defects,,[],True,"[""M.-A. Fardin"", ""B. Ladoux""]","Fardin, MA., Ladoux, B. Living proof of effective defects. Nat. Phys. 17, 172–173 (2021).",1459,62,0,aplusplus,10.1038/s41567-020-01084-0,https://doi.org/10.1038/s41567-020-01084-0,,2,nphys,nature physics,1606089600,2020-11-23,biophysics;motility,https://www.nature.com/articles/s41567-020-01084-0,17
letter,Ultrafast manipulation of the weakly bound helium dimer,"<p>Controlling the interactions between atoms with external fields opened up new branches in physics ranging from strongly correlated atomic systems to ideal Bose and Fermi gases and Efimov physics. Such control usually prepares samples that are stationary or evolve adiabatically in time. In contrast, in molecular physics, external ultrashort laser fields are used to create anisotropic potentials that launch ultrafast rotational wave packets and align molecules in free space. Here we combine these two regimes of ultrafast times and low energies. We apply a short laser pulse to the helium dimer, a weakly bound and highly delocalized single bound state quantum system. The laser field locally tunes the interaction between two helium atoms, imparting an angular momentum of 2&#8463; and evoking an initially confined dissociative wave packet. We record a video of the density and phase of this wave packet as it propagates from small to large internuclear distances. At large internuclear distances, where the interaction between atoms is negligible, the wave packet is essentially free. This work paves the way for future tomography of wave-packet dynamics and provides the technique for studying exotic and otherwise hardly accessible quantum systems, such as halo and Efimov states.</p>",[],False,"[""Maksim Kunitski"", ""Qingze Guan"", ""Holger Maschkiwitz"", ""J\u00f6rg Hahnenbruch"", ""Sebastian Eckart"", ""Stefan Zeller"", ""Anton Kalinin"", ""Markus Sch\u00f6ffler"", ""Lothar Ph. H. Schmidt"", ""Till Jahnke"", ""D\u00f6rte Blume"", ""Reinhard D\u00f6rner""]","Kunitski, M., Guan, Q., Maschkiwitz, H. et al. Ultrafast manipulation of the weakly bound helium dimer. Nat. Phys. 17, 174–178 (2021).",1175,111,1,aplusplus,10.1038/s41567-020-01081-3,https://doi.org/10.1038/s41567-020-01081-3,,2,nphys,nature physics,1608508800,2020-12-21,exotic-atoms-and-molecules;macromolecules-and-clusters,https://www.nature.com/articles/s41567-020-01081-3,17
letter,The Heisenberg limit for laser coherence,"<p>Quantum optical coherence can be quantified only by accounting for both the particle- and wave-nature of light. For an ideal laser beam, the coherence can be thought of roughly as the number of photons emitted consecutively into the beam with the same phase. This number, \({\mathfrak{C}}\), can be much larger than the number of photons in the laser itself, &#956;. The limit for an ideal laser was thought to be of order &#956;<sup>2</sup> (refs. ). Here, assuming only that a laser produces a beam with properties close to those of an ideal laser beam and that it has no external sources of coherence, we derive an upper bound on \({\mathfrak{C}}\), which is of order &#956;<sup>4</sup>. Moreover, using the matrix product states method, we find a model that achieves this scaling and show that it could, in principle, be realized using circuit quantum electrodynamics. Thus, \({\mathfrak{C}}\) of order &#956;<sup>2</sup> is only a standard quantum limit; the ultimate quantum limit&#8212;or Heisenberg limit&#8212;is quadratically better.</p>",[],False,"[""Travis J. Baker"", ""Seyed N. Saadatmand"", ""Dominic W. Berry"", ""Howard M. Wiseman""]","Baker, T.J., Saadatmand, S.N., Berry, D.W. et al. The Heisenberg limit for laser coherence. Nat. Phys. 17, 179–183 (2021).",3795,165,0,aplusplus,10.1038/s41567-020-01049-3,https://doi.org/10.1038/s41567-020-01049-3,,2,nphys,nature physics,1603670400,2020-10-26,lasers-leds-and-light-sources;quantum-information;single-photons-and-quantum-effects,https://www.nature.com/articles/s41567-020-01049-3,17
letter,Visualization of the flat electronic band in twisted bilayer graphene near the magic angle twist,"<p>Bilayer graphene has been predicted to host a moir&#233; miniband with flat dispersion if the layers are stacked at specific twist angles known as the &#8217;magic angles&#8217;. Recently, twisted bilayer graphene (tBLG) with a magic angle twist was reported to exhibit a correlated insulating state and superconductivity, where the presence of the flat miniband in the system is thought to be essential for the emergence of these ordered phases in the transport measurements. Although tunnelling spectroscopy and electronic compressibility measurements in tBLG have found a van Hove singularity that is consistent with the presence of the flat miniband, a direct observation of the flat dispersion in the momentum space of such a moir&#233; miniband in tBLG is still lacking. Here, we report the visualization of this flat moir&#233; miniband by using angle-resolved photoemission spectroscopy with nanoscale resolution. The high spatial resolution of this technique enabled the measurement of the local electronic structure of the tBLG. The measurements demonstrate the existence of the flat moir&#233; band near the charge neutrality for tBLG close to the magic angle at room temperature.</p>",[],False,"[""M. Iqbal Bakti Utama"", ""Roland J. Koch"", ""Kyunghoon Lee"", ""Nicolas Leconte"", ""Hongyuan Li"", ""Sihan Zhao"", ""Lili Jiang"", ""Jiayi Zhu"", ""Kenji Watanabe"", ""Takashi Taniguchi"", ""Paul D. Ashby"", ""Alexander Weber-Bargioni"", ""Alex Zettl"", ""Chris Jozwiak"", ""Jeil Jung"", ""Eli Rotenberg"", ""Aaron Bostwick"", ""Feng Wang""]","Utama, M.I.B., Koch, R.J., Lee, K. et al. Visualization of the flat electronic band in twisted bilayer graphene near the magic angle twist. Nat. Phys.(2020).",5758,18,10,aplusplus,10.1038/s41567-020-0974-x,https://doi.org/10.1038/s41567-020-0974-x,,2,nphys,nature physics,1595808000,2020-07-27,condensed-matter-physics;electronic-properties-and-devices;two-dimensional-materials,https://www.nature.com/articles/s41567-020-0974-x,17
