contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,The subtle success of a complex mindset,,[],True,[],"The subtle success of a complex mindset. Nature Phys14, 1149 (2018).",3327,19,2,aplusplus,10.1038/s41567-018-0386-3,https://doi.org/10.1038/s41567-018-0386-3,,12,nphys,nature physics,1543881600,2018-12-04,complex-networks;scientific-community;statistical-physics,https://www.nature.com/articles/s41567-018-0386-3,14
comment,The mechanics of slender structures,,[],False,"[""Pedro M. Reis"", ""Fabian Brau"", ""Pascal Damman""]","Reis, P.M., Brau, F. & Damman, P. The mechanics of slender structures. Nature Phys14, 1150–1151 (2018).",1793,14,5,aplusplus,10.1038/s41567-018-0369-4,https://doi.org/10.1038/s41567-018-0369-4,,12,nphys,nature physics,1543881600,2018-12-04,applied-mathematics;applied-physics;conferences-and-meetings;mechanical-engineering,https://www.nature.com/articles/s41567-018-0369-4,14
comment,A machine of superlatives,,[],False,"[""Niels Tuning""]","Tuning, N. A machine of superlatives. Nature Phys14, 1151–1153 (2018).",607,4,0,aplusplus,10.1038/s41567-018-0368-5,https://doi.org/10.1038/s41567-018-0368-5,,12,nphys,nature physics,1543795200,2018-12-03,experimental-particle-physics;theoretical-particle-physics,https://www.nature.com/articles/s41567-018-0368-5,14
thesis,A natural bias for simplicity,,[],True,"[""Mark Buchanan""]","Buchanan, M. A natural bias for simplicity. Nature Phys14, 1154 (2018).",1266,82,1,aplusplus,10.1038/s41567-018-0370-y,https://doi.org/10.1038/s41567-018-0370-y,,12,nphys,nature physics,1543881600,2018-12-04,,https://www.nature.com/articles/s41567-018-0370-y,14
books & arts,Physics at the zoo,,[],True,"[""Zoe Budrikis""]","Budrikis, Z. Physics at the zoo. Nature Phys14, 1155 (2018).",806,8,0,aplusplus,10.1038/s41567-018-0364-9,https://doi.org/10.1038/s41567-018-0364-9,,12,nphys,nature physics,1542585600,2018-11-19,biological-physics,https://www.nature.com/articles/s41567-018-0364-9,14
research highlight,Wave machine,,[],True,"[""Abigail Klopper""]","Klopper, A. Wave machine. Nature Phys14, 1156 (2018).",691,1,0,aplusplus,10.1038/s41567-018-0377-4,https://doi.org/10.1038/s41567-018-0377-4,,12,nphys,nature physics,1543881600,2018-12-04,biological-physics;biophysics;cell-migration,https://www.nature.com/articles/s41567-018-0377-4,14
research highlight,Exciting neighbours,,[],True,"[""Federico Levi""]","Levi, F. Exciting neighbours. Nature Phys14, 1156 (2018).",346,1,0,aplusplus,10.1038/s41567-018-0378-3,https://doi.org/10.1038/s41567-018-0378-3,,12,nphys,nature physics,1543881600,2018-12-04,atomic-and-molecular-collision-processes;electronic-structure-of-atoms-and-molecules,https://www.nature.com/articles/s41567-018-0378-3,14
research highlight,Straight for the sun,,[],True,"[""Jan Philip Kraack""]","Kraack, J.P. Straight for the sun. Nature Phys14, 1156 (2018).",391,0,0,aplusplus,10.1038/s41567-018-0379-2,https://doi.org/10.1038/s41567-018-0379-2,,12,nphys,nature physics,1543881600,2018-12-04,light-harvesting;solar-cells;solar-energy-and-photovoltaic-technology,https://www.nature.com/articles/s41567-018-0379-2,14
research highlight,Different shades of blue,,[],True,"[""Stefanie Reichert""]","Reichert, S. Different shades of blue. Nature Phys14, 1156 (2018).",349,5,0,aplusplus,10.1038/s41567-018-0380-9,https://doi.org/10.1038/s41567-018-0380-9,,12,nphys,nature physics,1543881600,2018-12-04,astronomical-instrumentation;stellar-evolution;transient-astrophysical-phenomena,https://www.nature.com/articles/s41567-018-0380-9,14
research highlight,Immaterial spike,,[],True,"[""Yun Li""]","Li, Y. Immaterial spike. Nature Phys14, 1156 (2018).",232,1,0,aplusplus,10.1038/s41567-018-0381-8,https://doi.org/10.1038/s41567-018-0381-8,,12,nphys,nature physics,1543881600,2018-12-04,fluid-dynamics;laser-produced-plasmas,https://www.nature.com/articles/s41567-018-0381-8,14
news & views,Enhanced control,,[],True,"[""Allen H. Boozer""]","Boozer, A.H. Enhanced control. Nature Phys14, 1157–1158 (2018).",690,1,2,aplusplus,10.1038/s41567-018-0281-y,https://doi.org/10.1038/s41567-018-0281-y,,12,nphys,nature physics,1536537600,2018-09-10,magnetically-confined-plasmas,https://www.nature.com/articles/s41567-018-0281-y,14
news & views,Mercurial shapes,,[],True,"[""Paul Cottle"", ""Kirby Kemper""]","Cottle, P., Kemper, K. Mercurial shapes. Nature Phys14, 1158–1159 (2018).",463,14,0,aplusplus,10.1038/s41567-018-0302-x,https://doi.org/10.1038/s41567-018-0302-x,,12,nphys,nature physics,1538352000,2018-10-01,experimental-nuclear-physics;theoretical-nuclear-physics,https://www.nature.com/articles/s41567-018-0302-x,14
news & views,Quantum simulations come of age,,[],True,"[""Immanuel Bloch""]","Bloch, I. Quantum simulations come of age. Nature Phys14, 1159–1161 (2018).",2842,7,11,aplusplus,10.1038/s41567-018-0371-x,https://doi.org/10.1038/s41567-018-0371-x,,12,nphys,nature physics,1543881600,2018-12-04,quantum-simulation,https://www.nature.com/articles/s41567-018-0371-x,14
news & views,Peculiar polygonal paths,,[],True,"[""Nicolas Waisbord"", ""Jeffrey S. Guasto""]","Waisbord, N., Guasto, J.S. Peculiar polygonal paths. Nature Phys14, 1161–1162 (2018).",518,2,2,aplusplus,10.1038/s41567-018-0320-8,https://doi.org/10.1038/s41567-018-0320-8,,12,nphys,nature physics,1537747200,2018-09-24,biological-physics;biophysics;cellular-motility,https://www.nature.com/articles/s41567-018-0320-8,14
letter,Characterization of the shape-staggering effect in mercury nuclei,"<p>In rare cases, the removal of a single proton (Z) or neutron (N) from an atomic nucleus leads to a dramatic shape change. These instances are crucial for understanding the components of the nuclear interactions that drive deformation. The mercury isotopes (Z&#8201;=&#8201;80) are a striking example: their close neighbours, the lead isotopes (Z&#8201;=&#8201;82), are spherical and steadily shrink with decreasing N. The even-mass (A&#8201;=&#8201;N&#8201;+&#8201;Z) mercury isotopes follow this trend. The odd-mass mercury isotopes <sup>181,183,185</sup>Hg, however, exhibit noticeably larger charge radii. Due to the experimental difficulties of probing extremely neutron-deficient systems, and the computational complexity of modelling such heavy nuclides, the microscopic origin of this unique shape staggering has remained unclear. Here, by applying resonance ionization spectroscopy, mass spectrometry and nuclear spectroscopy as far as <sup>177</sup>Hg, we determine <sup>181</sup>Hg as the shape-staggering endpoint. By combining our experimental measurements with Monte Carlo shell model calculations, we conclude that this phenomenon results from the interplay between monopole and quadrupole interactions driving a quantum phase transition, for which we identify the participating orbitals. Although shape staggering in the mercury isotopes is a unique and localized feature in the nuclear chart, it nicely illustrates the concurrence of single-particle and collective degrees of freedom at play in atomic nuclei.</p>",[],False,"[""B. A. Marsh"", ""T. Day Goodacre"", ""S. Sels"", ""Y. Tsunoda"", ""B. Andel"", ""A. N. Andreyev"", ""N. A. Althubiti"", ""D. Atanasov"", ""A. E. Barzakh"", ""J. Billowes"", ""K. Blaum"", ""T. E. Cocolios"", ""J. G. Cubiss"", ""J. Dobaczewski"", ""G. J. Farooq-Smith"", ""D. V. Fedorov"", ""V. N. Fedosseev"", ""K. T. Flanagan"", ""L. P. Gaffney"", ""L. Ghys"", ""M. Huyse"", ""S. Kreim"", ""D. Lunney"", ""K. M. Lynch"", ""V. Manea"", ""Y. Martinez Palenzuela"", ""P. L. Molkanov"", ""T. Otsuka"", ""A. Pastore"", ""M. Rosenbusch"", ""R. E. Rossel"", ""S. Rothe"", ""L. Schweikhard"", ""M. D. Seliverstov"", ""P. Spagnoletti"", ""C. Van Beveren"", ""P. Van Duppen"", ""M. Veinhard"", ""E. Verstraelen"", ""A. Welker"", ""K. Wendt"", ""F. Wienholtz"", ""R. N. Wolf"", ""A. Zadvornaya"", ""K. Zuber""]","Marsh, B.A., Day Goodacre, T., Sels, S. et al. Characterization of the shape-staggering effect in mercury nuclei. Nature Phys14, 1163–1167 (2018).",7235,61,43,aplusplus,10.1038/s41567-018-0292-8,https://doi.org/10.1038/s41567-018-0292-8,,12,nphys,nature physics,1538352000,2018-10-01,experimental-nuclear-physics;theoretical-nuclear-physics,https://www.nature.com/articles/s41567-018-0292-8,14
