contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Here we go...,,[],True,[],"Here we go.... Nature Phys4, 581 (2008).",63,0,0,aplusplus,10.1038/nphys1040,https://doi.org/10.1038/nphys1040,,8,nphys,nature physics,1217548800,2008-08-01,,https://www.nature.com/articles/nphys1040,4
thesis,Let there be light?,,[],True,"[""Mark Buchanan""]","Buchanan, M. Let there be light?. Nature Phys4, 583 (2008).",145,2,0,aplusplus,10.1038/nphys1042,https://doi.org/10.1038/nphys1042,,8,nphys,nature physics,1217548800,2008-08-01,,https://www.nature.com/articles/nphys1042,4
books & arts,How to tip the scale,,[],True,"[""Christoph Bergemann""]","Bergemann, C. How to tip the scale. Nature Phys4, 585 (2008).",60,0,1,aplusplus,10.1038/nphys1037,https://doi.org/10.1038/nphys1037,,8,nphys,nature physics,1217548800,2008-08-01,,https://www.nature.com/articles/nphys1037,4
research highlights,Relatively interesting news,,[],True,[],"Relatively interesting news. Nature Phys4, 586 (2008).",24,0,0,aplusplus,10.1038/nphys1043,https://doi.org/10.1038/nphys1043,,8,nphys,nature physics,1217548800,2008-08-01,,https://www.nature.com/articles/nphys1043,4
news & views,A one-way street for spin current,,[],True,"[""Michael E. Flatt\u00e9""]","Flatté, M. A one-way street for spin current. Nature Phys4, 587–588 (2008).",21,0,7,aplusplus,10.1038/nphys1047,https://doi.org/10.1038/nphys1047,,8,nphys,nature physics,1217548800,2008-08-01,,https://www.nature.com/articles/nphys1047,4
news & views,Words of advice to young people,,[],True,"[""Ed Gerstner""]","Gerstner, E. Words of advice to young people. Nature Phys4, 588 (2008).",43,6,1,aplusplus,10.1038/nphys1048,https://doi.org/10.1038/nphys1048,,8,nphys,nature physics,1217548800,2008-08-01,,https://www.nature.com/articles/nphys1048,4
news & views,Atomic physics with a circuit,,[],True,"[""Franco Nori""]","Nori, F. Atomic physics with a circuit. Nature Phys4, 589–590 (2008).",82,0,30,aplusplus,10.1038/nphys1044,https://doi.org/10.1038/nphys1044,,8,nphys,nature physics,1217548800,2008-08-01,,https://www.nature.com/articles/nphys1044,4
news & views,Hybrid electron control,,[],True,"[""Belita Koiller""]","Koiller, B. Hybrid electron control. Nature Phys4, 590–591 (2008).",9,0,3,aplusplus,10.1038/nphys1045,https://doi.org/10.1038/nphys1045,,8,nphys,nature physics,1217548800,2008-08-01,,https://www.nature.com/articles/nphys1045,4
news & views,Peak on a peak,,[],True,"[""Allan Griffin""]","Griffin, A. Peak on a peak. Nature Phys4, 592–593 (2008).",9,0,3,aplusplus,10.1038/nphys1046,https://doi.org/10.1038/nphys1046,,8,nphys,nature physics,1217548800,2008-08-01,,https://www.nature.com/articles/nphys1046,4
news & views,Boldly gone,,[],True,"[""Dan Csontos""]","Csontos, D. Boldly gone. Nature Phys4, 593 (2008).",18,0,0,aplusplus,10.1038/nphys1038,https://doi.org/10.1038/nphys1038,,8,nphys,nature physics,1217548800,2008-08-01,,https://www.nature.com/articles/nphys1038,4
research article,Taming molecular beams,"<p>The motion of neutral molecules in a beam can be manipulated with inhomogeneous electric and magnetic fields. Static fields can be used to deflect or focus molecules, whereas time-varying fields can be used to decelerate or accelerate beams of molecules to any desired velocity. We review the possibilities that this molecular-beam technology offers, ranging from ultrahigh-resolution spectroscopy using molecular fountains to novel crossed-beam scattering experiments.</p>",[],False,"[""Sebastiaan Y. T. van de Meerakker"", ""Hendrick L. Bethlem"", ""Gerard Meijer""]","van de Meerakker, S., Bethlem, H. & Meijer, G. Taming molecular beams. Nature Phys4, 595–602 (2008).",688,0,193,aplusplus,10.1038/nphys1031,https://doi.org/10.1038/nphys1031,,8,nphys,nature physics,1217548800,2008-08-01,,https://www.nature.com/articles/nphys1031,4
letter,Superconductivity and quantum criticality in the heavy-fermion system β-YbAlB4,,[],True,"[""S. Nakatsuji"", ""K. Kuga"", ""Y. Machida"", ""T. Tayama"", ""T. Sakakibara"", ""Y. Karaki"", ""H. Ishimoto"", ""S. Yonezawa"", ""Y. Maeno"", ""E. Pearson"", ""G. G. Lonzarich"", ""L. Balicas"", ""H. Lee"", ""Z. Fisk""]","Nakatsuji, S., Kuga, K., Machida, Y. et al. Superconductivity and quantum criticality in the heavy-fermion system β-YbAlB4. Nature Phys4, 603–607 (2008).",1088,0,259,aplusplus,10.1038/nphys1002,https://doi.org/10.1038/nphys1002,,8,nphys,nature physics,1214697600,2008-06-29,,https://www.nature.com/articles/nphys1002,4
letter,Pairing fluctuations in the pseudogap state of copper-oxide superconductors probed by the Josephson effect,,[],True,"[""N. Bergeal"", ""J. Lesueur"", ""M. Aprili"", ""G. Faini"", ""J. P. Contour"", ""B. Leridon""]","Bergeal, N., Lesueur, J., Aprili, M. et al. Pairing fluctuations in the pseudogap state of copper-oxide superconductors probed by the Josephson effect. Nature Phys4, 608–611 (2008).",287,0,50,aplusplus,10.1038/nphys1017,https://doi.org/10.1038/nphys1017,,8,nphys,nature physics,1214697600,2008-06-29,,https://www.nature.com/articles/nphys1017,4
letter,Sisyphus cooling and amplification by a superconducting qubit,,[],True,"[""M. Grajcar"", ""S. H. W. van der Ploeg"", ""A. Izmalkov"", ""E. Il\u2019ichev"", ""H.-G. Meyer"", ""A. Fedorov"", ""A. Shnirman"", ""Gerd Sch\u00f6n""]","Grajcar, M., van der Ploeg, S., Izmalkov, A. et al. Sisyphus cooling and amplification by a superconducting qubit. Nature Phys4, 612–616 (2008).",434,3,97,aplusplus,10.1038/nphys1019,https://doi.org/10.1038/nphys1019,,8,nphys,nature physics,1215302400,2008-07-06,,https://www.nature.com/articles/nphys1019,4
letter,Sharp peaks in the momentum distribution of bosons in optical lattices in the normal state,,[],True,"[""Yasuyuki Kato"", ""Qi Zhou"", ""Naoki Kawashima"", ""Nandini Trivedi""]","Kato, Y., Zhou, Q., Kawashima, N. et al. Sharp peaks in the momentum distribution of bosons in optical lattices in the normal state. Nature Phys4, 617–621 (2008).",349,56,72,aplusplus,10.1038/nphys983,https://doi.org/10.1038/nphys983,,8,nphys,nature physics,1212105600,2008-05-30,,https://www.nature.com/articles/nphys983,4
letter,Efficient state transfer in an ultracold dense gas of heteronuclear molecules,,[],True,"[""S. Ospelkaus"", ""A. Pe\u2019er"", ""K.-K. Ni"", ""J. J. Zirbel"", ""B. Neyenhuis"", ""S. Kotochigova"", ""P. S. Julienne"", ""J. Ye"", ""D. S. Jin""]","Ospelkaus, S., Pe’er, A., Ni, KK. et al. Efficient state transfer in an ultracold dense gas of heteronuclear molecules. Nature Phys4, 622–626 (2008).",357,0,234,aplusplus,10.1038/nphys997,https://doi.org/10.1038/nphys997,,8,nphys,nature physics,1214092800,2008-06-22,,https://www.nature.com/articles/nphys997,4
letter,Giant phonon-induced conductance in scanning tunnelling spectroscopy of gate-tunable graphene,,[],True,"[""Yuanbo Zhang"", ""Victor W. Brar"", ""Feng Wang"", ""Caglar Girit"", ""Yossi Yayon"", ""Melissa Panlasigui"", ""Alex Zettl"", ""Michael F. Crommie""]","Zhang, Y., Brar, V., Wang, F. et al. Giant phonon-induced conductance in scanning tunnelling spectroscopy of gate-tunable graphene. Nature Phys4, 627–630 (2008).",2885,4,316,aplusplus,10.1038/nphys1022,https://doi.org/10.1038/nphys1022,,8,nphys,nature physics,1216512000,2008-07-20,,https://www.nature.com/articles/nphys1022,4
letter,Coherent dynamics of plasma mirrors,,[],True,"[""C. Thaury"", ""H. George"", ""F. Qu\u00e9r\u00e9"", ""R. Loch"", ""J.-P. Geindre"", ""P. Monot"", ""Ph. Martin""]","Thaury, C., George, H., Quéré, F. et al. Coherent dynamics of plasma mirrors. Nature Phys4, 631–634 (2008).",231,0,33,aplusplus,10.1038/nphys986,https://doi.org/10.1038/nphys986,,8,nphys,nature physics,1212883200,2008-06-08,,https://www.nature.com/articles/nphys986,4
