contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Nobel reactions,,[],True,[],"Nobel reactions. Nature Phys13, 921 (2017).",174,11,3,aplusplus,10.1038/nphys4296,https://doi.org/10.1038/nphys4296,,10,nphys,nature physics,1506816000,2017-10-01,scientific-community,https://www.nature.com/articles/nphys4296,13
commentary,Optomechanical nonreciprocity,,[],False,"[""Ewold Verhagen"", ""Andrea Al\u00f9""]","Verhagen, E., Alù, A. Optomechanical nonreciprocity. Nature Phys13, 922–924 (2017).",1019,1,28,aplusplus,10.1038/nphys4283,https://doi.org/10.1038/nphys4283,,10,nphys,nature physics,1506816000,2017-10-01,electronics-photonics-and-device-physics;optical-physics;optomechanics,https://www.nature.com/articles/nphys4283,13
thesis,Quantum crystals,,[],True,"[""Mark Buchanan""]","Buchanan, M. Quantum crystals. Nature Phys13, 925 (2017).",756,4,0,aplusplus,10.1038/nphys4286,https://doi.org/10.1038/nphys4286,,10,nphys,nature physics,1506816000,2017-10-01,electronic-properties-and-materials;quantum-fluids-and-solids,https://www.nature.com/articles/nphys4286,13
research highlights,From strength to strength,,[],True,"[""Andreas H. Trabesinger""]","Trabesinger, A. From strength to strength. Nature Phys13, 926 (2017).",54,1,0,aplusplus,10.1038/nphys4290,https://doi.org/10.1038/nphys4290,,10,nphys,nature physics,1506816000,2017-10-01,characterization-and-analytical-techniques;nmr-spectroscopy,https://www.nature.com/articles/nphys4290,13
research highlights,Going random,,[],True,"[""Federico Levi""]","Levi, F. Going random. Nature Phys13, 926 (2017).",189,6,1,aplusplus,10.1038/nphys4291,https://doi.org/10.1038/nphys4291,,10,nphys,nature physics,1506816000,2017-10-01,quantum-mechanics;statistical-physics,https://www.nature.com/articles/nphys4291,13
research highlights,Enshrouded in dust,,[],True,"[""Iulia Georgescu""]","Georgescu, I. Enshrouded in dust. Nature Phys13, 926 (2017).",34,3,0,aplusplus,10.1038/nphys4292,https://doi.org/10.1038/nphys4292,,10,nphys,nature physics,1506816000,2017-10-01,astronomy-and-astrophysics,https://www.nature.com/articles/nphys4292,13
research highlights,In rare form,,[],True,"[""Luke Fleet""]","Fleet, L. In rare form. Nature Phys13, 926 (2017).",133,1,2,aplusplus,10.1038/nphys4293,https://doi.org/10.1038/nphys4293,,10,nphys,nature physics,1506816000,2017-10-01,ferroelectrics-and-multiferroics;ferromagnetism,https://www.nature.com/articles/nphys4293,13
research highlights,Bounded diffusion,,[],True,"[""Yun Li""]","Li, Y. Bounded diffusion. Nature Phys13, 926 (2017).",168,1,0,aplusplus,10.1038/nphys4294,https://doi.org/10.1038/nphys4294,,10,nphys,nature physics,1506816000,2017-10-01,condensed-matter-physics,https://www.nature.com/articles/nphys4294,13
news & views,A remedy for thinning hair,,[],True,"[""Mitul Luhar""]","Luhar, M. A remedy for thinning hair. Nature Phys13, 927–928 (2017).",178,2,0,aplusplus,10.1038/nphys4247,https://doi.org/10.1038/nphys4247,,10,nphys,nature physics,1503273600,2017-08-21,biological-physics;fluid-dynamics;soft-materials,https://www.nature.com/articles/nphys4247,13
news & views,Window of opportunity,,[],True,"[""Christoph Boehme""]","Boehme, C. Window of opportunity. Nature Phys13, 928–929 (2017).",325,2,5,aplusplus,10.1038/nphys4284,https://doi.org/10.1038/nphys4284,,10,nphys,nature physics,1506816000,2017-10-01,electronic-devices;molecular-electronics;semiconductors;spintronics,https://www.nature.com/articles/nphys4284,13
progress article,Structural and quantum-state phase transitions in van der Waals layered materials,"<p>Van der Waals layered transition metal dichalcogenides can exist in many different atomic and electronic phases. Such diverse polymorphisms not only provide a route for investigating novel topological states, such as quantum spin Hall insulators, superconductors and Weyl semimetals, but may also have applications in fields ranging from electronic and optical/quantum devices to electrochemical catalysis. And the methods for triggering robust phase transitions between polymorphs are evolving and diversifying&#8212;several growth processes, high-pressure/strain methods, and optical, electronic and chemical treatments have been developed. Here, we discuss recent progress on phase transitions and the related physics in layered materials, and demonstrate unique features compared with conventional solid-state materials.</p>",[],False,"[""Heejun Yang"", ""Sung Wng Kim"", ""Manish Chhowalla"", ""Young Hee Lee""]","Yang, H., Kim, S., Chhowalla, M. et al. Structural and quantum-state phase transitions in van der Waals layered materials. Nature Phys13, 931–937 (2017).",5342,1,126,aplusplus,10.1038/nphys4188,https://doi.org/10.1038/nphys4188,,10,nphys,nature physics,1500249600,2017-07-17,phase-transitions-and-critical-phenomena;two-dimensional-materials,https://www.nature.com/articles/nphys4188,13
letter,Testing sub-gravitational forces on atoms from a miniature in-vacuum source mass,,[],True,"[""Matt Jaffe"", ""Philipp Haslinger"", ""Victoria Xu"", ""Paul Hamilton"", ""Amol Upadhye"", ""Benjamin Elder"", ""Justin Khoury"", ""Holger M\u00fcller""]","Jaffe, M., Haslinger, P., Xu, V. et al. Testing sub-gravitational forces on atoms from a miniature in-vacuum source mass. Nature Phys13, 938–942 (2017).",2285,74,61,aplusplus,10.1038/nphys4189,https://doi.org/10.1038/nphys4189,,10,nphys,nature physics,1499040000,2017-07-03,cosmology;experimental-particle-physics;matter-waves-and-particle-beams;particle-astrophysics;ultracold-gases,https://www.nature.com/articles/nphys4189,13
letter,Goldstone mode and pair-breaking excitations in atomic Fermi superfluids,,[],True,"[""Sascha Hoinka"", ""Paul Dyke"", ""Marcus G. Lingham"", ""Jami J. Kinnunen"", ""Georg M. Bruun"", ""Chris J. Vale""]","Hoinka, S., Dyke, P., Lingham, M. et al. Goldstone mode and pair-breaking excitations in atomic Fermi superfluids. Nature Phys13, 943–946 (2017).",1698,12,46,aplusplus,10.1038/nphys4187,https://doi.org/10.1038/nphys4187,,10,nphys,nature physics,1498435200,2017-06-26,quantum-fluids-and-solids;ultracold-gases,https://www.nature.com/articles/nphys4187,13
letter,Tracing the phase of focused broadband laser pulses,,[],True,"[""Dominik Hoff"", ""Michael Kr\u00fcger"", ""Lothar Maisenbacher"", ""A. M. Sayler"", ""Gerhard G. Paulus"", ""Peter Hommelhoff""]","Hoff, D., Krüger, M., Maisenbacher, L. et al. Tracing the phase of focused broadband laser pulses. Nature Phys13, 947–951 (2017).",1171,91,28,aplusplus,10.1038/nphys4185,https://doi.org/10.1038/nphys4185,,10,nphys,nature physics,1499644800,2017-07-10,attosecond-science;high-harmonic-generation;nanophotonics-and-plasmonics;nonlinear-optics;supercontinuum-generation,https://www.nature.com/articles/nphys4185,13
